title_num,title_opt,url,imgUrl,year,artist,material,scale,title
21,정원,http://gmoma.ggcf.kr/archives/artwork/%EC%A0%95%EC%9B%90,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=eu0RyYwlk8tpet4W0Iw%2BfQA4oQ9EiIETrqk3kZ1vgQiS45WbqAR9C6mD%2B8FV2wYy2pVAsNAJgwB3aVHf7A0lWQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 박성수","<strong class="theme-key-color">재질/</strong> 화선지에 수묵담채","<strong class="theme-key-color">규격/</strong> 162×130cm","정원-고유영역"
22,푸른-운동회-Ⅵ가라사대,http://gmoma.ggcf.kr/archives/artwork/%ED%91%B8%EB%A5%B8-%EC%9A%B4%EB%8F%99%ED%9A%8C-%E2%85%A5%EA%B0%80%EB%9D%BC%EC%82%AC%EB%8C%80,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2B6ntI%2Fjy%2BNRzHkuw1%2B9dwyOG8GhKi9O3oJXqEfV0hmww%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2005","<strong class="theme-key-color">작가(출처)/</strong> 양대원/Yang Dae Won","<strong class="theme-key-color">재질/</strong> 혼합재료/Mixed media","<strong class="theme-key-color">규격/</strong> 180*215cm","푸른 운동회 Ⅵ(가라사대)/A Blue Sports Day Ⅵ(Says…)"
23,팝콘시리즈,http://gmoma.ggcf.kr/archives/artwork/%ED%8C%9D%EC%BD%98%EC%8B%9C%EB%A6%AC%EC%A6%88,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m9Kyi56iwFsyMWqZtdnEeezBRgQ6RyYfxYI646vxtzR5Q%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 구성연 / Koo Seong Youn","<strong class="theme-key-color">재질/</strong> C타입 라이트 젯 프린트 / C-type light-jet Print","<strong class="theme-key-color">규격/</strong> 각120x60cm","팝콘시리즈 / Popcorn Series"
24,寂寥-물위에-無爲,http://gmoma.ggcf.kr/archives/artwork/%E5%AF%82%E5%AF%A5-%EB%AC%BC%EC%9C%84%EC%97%90-%E7%84%A1%E7%88%B2,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m9C9V43S%2B3WxzSGMPAcDaK%2FfNjPiPj4F3GihONdEIgpzg%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2005","<strong class="theme-key-color">작가(출처)/</strong> 지요상/Ji Yo Sang","<strong class="theme-key-color">재질/</strong> 한지에 수묵/Indian ink on Korean paper","<strong class="theme-key-color">규격/</strong> 213*150cm","寂寥-물위에 無爲/Desolation- Emptiness on Water"
25,사이드스케이프-바르셀로나-2007년-6월-1일,http://gmoma.ggcf.kr/archives/artwork/%EC%82%AC%EC%9D%B4%EB%93%9C%EC%8A%A4%EC%BC%80%EC%9D%B4%ED%94%84-%EB%B0%94%EB%A5%B4%EC%85%80%EB%A1%9C%EB%82%98-2007%EB%85%84-6%EC%9B%94-1%EC%9D%BC,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m86tobo9bjv5vLVxBOnLF9fmu3BkgHLy31ESpv%2BtuA%2BzQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 홍순명/Hong Soun","<strong class="theme-key-color">재질/</strong> 캔버스에 유채 / Oil on Canvas","<strong class="theme-key-color">규격/</strong> 291x220cm","사이드스케이프 – 바르셀로나 2007년 6월 1일 /Sidescape – Barcelona. 1 June 2007"
26,임야도,http://gmoma.ggcf.kr/archives/artwork/%EC%9E%84%EC%95%BC%EB%8F%84,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m9TOP4M4U1LwjYaasehmHurGH5nd9avSRnOjffzVIHn2w%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2001","<strong class="theme-key-color">작가(출처)/</strong> 김을/Kim Eul","<strong class="theme-key-color">재질/</strong> 장지에 유채/Oil on Jangji paper","<strong class="theme-key-color">규격/</strong> 76*211cm","임야도/Mountain Map"
27,산,http://gmoma.ggcf.kr/archives/artwork/%EC%82%B0,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m9%2B4qLXZ7BBPjaC4VPYB8I8Y2ZrU3w4Kbs9U1Tr7j3cmA%3D%3D","<strong class="theme-key-color">제작연도/</strong> 1997","<strong class="theme-key-color">작가(출처)/</strong> 유영국/Yoo Young Guk","<strong class="theme-key-color">재질/</strong> 캔버스에 유채/Oil on canvas","<strong class="theme-key-color">규격/</strong> 132*132cm","산/The Mountain"
28,서서-오줌누기,http://gmoma.ggcf.kr/archives/artwork/%EC%84%9C%EC%84%9C-%EC%98%A4%EC%A4%8C%EB%88%84%EA%B8%B0,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m9MAP1FxDrods53A8Ye9SOvVD2pkbZpsP2qmxBP5YfDlQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2006","<strong class="theme-key-color">작가(출처)/</strong> 장지아/Chang Jia","<strong class="theme-key-color">재질/</strong> 흑백사진 디아섹/ BlackWhite Photography with Diasec","<strong class="theme-key-color">규격/</strong> 150*120","서서 오줌누기/Standing up peeing"
29,기하학적-칼-드로잉,http://gmoma.ggcf.kr/archives/artwork/%EA%B8%B0%ED%95%98%ED%95%99%EC%A0%81-%EC%B9%BC-%EB%93%9C%EB%A1%9C%EC%9E%89,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2Fj23uYUs3gOs%2BFV9iKX4p9Ok76HKjo5xdEsU9c5T98VA%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 조병왕/Cho Byungwang","<strong class="theme-key-color">재질/</strong> 초 광택 칼라 사진 유제면 위에 나이핑 / Knifing on Photo","<strong class="theme-key-color">규격/</strong> 140x100cm","기하학적 칼 드로잉 02-03-07 / Geometric Knife Drawing 02-03-07"
30,엠파이어-스테이트,http://gmoma.ggcf.kr/archives/artwork/%EC%97%A0%ED%8C%8C%EC%9D%B4%EC%96%B4-%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%8A%B8,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m85gLIM00y8IKEVU5t%2FyzGWM02Mh8nDbyjy7ZIhIOJ4Og%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 임상빈/Im Sang bin","<strong class="theme-key-color">재질/</strong> 람다 프린트 디아섹/Iambda print/diasec","<strong class="theme-key-color">규격/</strong> 152.5*101.3","엠파이어 스테이트/Empire State"
